date,humidity,rainfall,temperature,sunshine
Thg12-13,75.33333333,74.96666667,14.58333333,166.0166667
Thg1-14,76,2.05,15.95,148.5
Thg2-14,79.16666667,22.36666667,16.71666667,84.93333333
Thg3-14,84.16666667,64.11666667,20.13333333,73.8
Thg4-14,83.66666667,147.5666667,24.83333333,86.21666667
Thg5-14,78.16666667,132.6333333,27.45,199.05
Thg6-14,83,263.3166667,28.05,134.5833333
Thg7-14,83.66666667,347.8333333,27.66666667,155.1333333
Thg8-14,85,352.0166667,26.91666667,135.1166667
Thg9-14,81.5,215.45,26.98333333,173.25
Thg10-14,78.5,108.3833333,24.53333333,160.3833333
Thg11-14,82.5,79.43333333,21.28333333,111.6333333
Thg12-14,74.66666667,18.23333333,16,101.8666667
Thg1-15,78.16666667,51.65,16.35,136.5166667
Thg2-15,81.33333333,26.41666667,18.3,82.9
Thg3-15,83.33333333,56.1,21.66666667,84.91666667
Thg4-15,77.33333333,60.45,24.06666667,161.8166667
Thg5-15,75.83333333,151.8666667,28.66666667,234.4333333
Thg6-15,78.66666667,270.5333333,28.73333333,193.2
Thg7-15,78.33333333,382.4333333,27.85,145.5333333
Thg8-15,82.16666667,299.6666667,27.66666667,170.7666667
Thg9-15,85.16666667,288.3666667,26.78333333,139.85
Thg10-15,79.66666667,107.05,24.8,177.55
Thg11-15,82.66666667,142.3,22.83333333,129.7833333
Thg12-15,83,81.41666667,17.1,71.4
Thg1-16,85.16666667,114.4666667,15.96666667,82.86666667
Thg2-16,74.5,13.65,15.18333333,106.35
Thg3-16,81.33333333,31.95,19.7,80.41666667
Thg4-16,81.66666667,165.0666667,24.88333333,131.0666667
Thg5-16,79.83333333,252.15,27.06666667,169.7333333
Thg6-16,78,180.8333333,28.81666667,211.8333333
Thg7-16,81.66666667,338.9666667,28.13333333,171.7333333
Thg8-16,84,384.5666667,27.51666667,152.8166667
Thg9-16,82,185.15,26.93333333,144.7666667
Thg10-16,78,58.15,25.98333333,172.6
Thg11-16,79.16666667,33.26666667,21.41666667,134.3833333
Thg12-16,73.5,6.6,19.03333333,149.0166667
Thg1-17,81.83333333,87.51666667,18.16666667,80.76666667
Thg2-17,75.16666667,19.33333333,18.31666667,104.7333333
Thg3-17,82,105.3166667,20.83333333,90.58333333
Thg4-17,80.16666667,101.35,23.55,121.2666667
Thg5-17,78,125.1166667,26.1,180.65
Thg6-17,80.66666667,344.3166667,28.06666667,139.0833333
Thg7-17,84.33333333,474.1666667,27.08333333,130.45
Thg8-17,85.33333333,441.0333333,27.3,128.3166667
Thg9-17,85.33333333,261.9166667,27.3,147.4833333
Thg10-17,82.16666667,250.7833333,24.01666667,115.7333333
Thg11-17,79.16666667,37.35,20.53333333,98.03333333
Thg12-17,77.33333333,43.65,16.51666667,104.7666667
Thg1-18,80.83333333,29.33333333,16.81666667,66.03333333
Thg2-18,74.66666667,11.83333333,16.48333333,72.68333333
Thg3-18,80.16666667,58.18333333,21.1,120.9833333
Thg4-18,80.66666667,122.35,23.2,114.5833333
Thg5-18,80.83333333,214.45,27.16666667,218.1
Thg6-18,80.83333333,259.45,27.96666667,142.85
Thg7-18,83.16666667,443.0166667,27.76666667,147.55
Thg8-18,86,369.1333333,27.15,128.35
Thg9-18,81.16666667,231.8666667,26.83333333,150.9666667
Thg10-18,79.33333333,120.65,24.23333333,153.7666667
Thg11-18,80.33333333,36.8,22.15,166.5333333
Thg12-18,82.5,64.6,18.36666667,109.2166667
